parent,child,weight,files
ID00653,ID00647,14.50137694311617,{'NC_0025AG05_PatserOutID00653.txt': 14.50137694311617}
ID00652,ID00647,12.051805801372614,{'NC_0025AG05_PatserOutID00652.txt': 12.051805801372614}
ID00651,ID00647,7.018165602928552,{'NC_0025AG05_PatserOutID00651.txt': 7.018165602928552}
ID00650,ID00647,8.258617827798538,{'NC_0025AG05_PatserOutID00650.txt': 8.258617827798538}
ID00657,ID00647,12.923565307249195,{'NC_0025AG05_PatserOutID00657.txt': 12.923565307249195}
ID00656,ID00647,8.665579290550413,{'NC_0025AG05_PatserOutID00656.txt': 8.665579290550413}
ID00655,ID00647,7.783168936896395,{'NC_0025AG05_PatserOutID00655.txt': 7.783168936896395}
ID00654,ID00647,11.412383393524797,{'NC_0025AG05_PatserOutID00654.txt': 11.412383393524797}
ID00659,ID00647,11.70565324860588,{'NC_0025AG05_PatserOutID00659.txt': 11.70565324860588}
ID00658,ID00647,8.779766286489924,{'NC_0025AG05_PatserOutID00658.txt': 8.779766286489924}
ID00095,ID00088,8.733571330431966,{'NC_0025AG05_PatserOutID00095.txt': 8.733571330431966}
ID00094,ID00088,6.386669407380224,{'NC_0025AG05_PatserOutID00094.txt': 6.386669407380224}
ID00097,ID00088,7.444075666958892,{'NC_0025AG05_PatserOutID00097.txt': 7.444075666958892}
ID00096,ID00088,13.327430593321582,{'NC_0025AG05_PatserOutID00096.txt': 13.327430593321582}
ID00091,ID00088,15.301676691230174,{'NC_0025AG05_PatserOutID00091.txt': 15.301676691230174}
ID00090,ID00088,7.141269587704987,{'NC_0025AG05_PatserOutID00090.txt': 7.141269587704987}
ID00093,ID00088,16.292577075733444,{'NC_0025AG05_PatserOutID00093.txt': 16.292577075733444}
ID00092,ID00088,14.766533513947504,{'NC_0025AG05_PatserOutID00092.txt': 14.766533513947504}
ID00154,ID00146,11.342533647635552,{'NC_0025AG05_PatserOutID00154.txt': 11.342533647635552}
ID00155,ID00146,15.447196995166099,{'NC_0025AG05_PatserOutID00155.txt': 15.447196995166099}
ID00156,ID00146,14.016515675108383,{'NC_0025AG05_PatserOutID00156.txt': 14.016515675108383}
ID00157,ID00146,10.821509036011348,{'NC_0025AG05_PatserOutID00157.txt': 10.821509036011348}
ID00099,ID00088,9.200227079564364,{'NC_0025AG05_PatserOutID00099.txt': 9.200227079564364}
ID00098,ID00088,9.06436684686844,{'NC_0025AG05_PatserOutID00098.txt': 9.06436684686844}
ID00152,ID00146,8.143811596523133,{'NC_0025AG05_PatserOutID00152.txt': 8.143811596523133}
ID00153,ID00146,9.621430955041882,{'NC_0025AG05_PatserOutID00153.txt': 9.621430955041882}
ID00292,ID00293,76.12359061842412,{'NC_0025AG05_paralogues.txt': 76.12359061842412}
ID00291,ID00293,191.36601126443745,{'NC_0025AG05_synteny.txt': 191.36601126443745}
ID00290,ID00293,20.11623142783368,{'NC_0025AG05_QRNA.txt.all.CUTOFF0.ID[100:0].GC[100:0].gff': 20.11623142783368}
ID00297,ID00294,17.012004688979225,{'NC_0025AG05_PatserOutID00297.txt': 17.012004688979225}
ID00296,ID00294,10.474365706707177,{'NC_0025AG05_PatserOutID00296.txt': 10.474365706707177}
ID00295,ID00294,11.785410759869485,{'NC_0025AG05_PatserOutID00295.txt': 11.785410759869485}
ID00294,ID00322,200.1274481849848,{'NC_0025AG05_PatserOut.txt': 200.1274481849848}
ID00299,ID00294,12.430282438673201,{'NC_0025AG05_PatserOutID00299.txt': 12.430282438673201}
ID00298,ID00294,8.660625407863233,{'NC_0025AG05_PatserOutID00298.txt': 8.660625407863233}
ID00486,ID00469,15.187985083559381,{'NC_0025AG05_PatserOutID00486.txt': 15.187985083559381}
ID00487,ID00469,16.67390219557916,{'NC_0025AG05_PatserOutID00487.txt': 16.67390219557916}
ID00484,ID00469,11.053350745771393,{'NC_0025AG05_PatserOutID00484.txt': 11.053350745771393}
ID00485,ID00469,10.335409297331765,{'NC_0025AG05_PatserOutID00485.txt': 10.335409297331765}
ID00482,ID00469,10.809495870494935,{'NC_0025AG05_PatserOutID00482.txt': 10.809495870494935}
ID00483,ID00469,11.031801356082159,{'NC_0025AG05_PatserOutID00483.txt': 11.031801356082159}
ID00480,ID00469,6.864595239625959,{'NC_0025AG05_PatserOutID00480.txt': 6.864595239625959}
ID00481,ID00469,13.399633433487237,{'NC_0025AG05_PatserOutID00481.txt': 13.399633433487237}
ID00488,ID00469,12.374551258442422,{'NC_0025AG05_PatserOutID00488.txt': 12.374551258442422}
ID00489,ID00493,4683.534075751756,"{'vienna_input_tmp': 252.64454932832226, 'NC_0025AG05_term.txt': 2667.4800564459065, 'vienna_output': 1009.2451074821687, 'findterm.out': 0.01659550700205453, 'rna.ps': 0.3540787650662231, 'findterm.err': 0.0, 'vienna_index_tmp': 717.7863919115189, 'NC_0025AG05_term_candidates_non_redund': 36.00729631177115}"
ID00318,ID00322,1.6628945710192997,"{'BLAST_NC_0025AG05': 1.2150635760981865, 'blast_candidate.out': 0.38033434330827953, 'blast_candidate.err': 0.06749665161283372}"
ID00669,ID00670,409.2494134709488,"{'blast.out': 0.06328585132873032, 'BLAST_sorted.out': 409.18612761962004}"
ID00663,ID00647,14.743621806519295,{'NC_0025AG05_PatserOutID00663.txt': 14.743621806519295}
ID00319,ID00322,20.11623142783368,{'NC_0025AG05_QRNA.txt.all.CUTOFF0.ID[100:0].GC[100:0].gff': 20.11623142783368}
ID00601,ID00586,11.232681299047325,{'NC_0025AG05_PatserOutID00601.txt': 11.232681299047325}
ID00310,ID00294,13.296097285325166,{'NC_0025AG05_PatserOutID00310.txt': 13.296097285325166}
ID00258,ID00261,20.11623142783368,{'NC_0025AG05_QRNA.txt.all.CUTOFF0.ID[100:0].GC[100:0].gff': 20.11623142783368}
ID00208,ID00206,16.81001012240944,{'NC_0025AG05_PatserOutID00208.txt': 16.81001012240944}
ID00209,ID00206,6.03531527779195,{'NC_0025AG05_PatserOutID00209.txt': 6.03531527779195}
ID00570,ID00558,9.30735479267464,{'NC_0025AG05_PatserOutID00570.txt': 9.30735479267464}
ID00571,ID00558,15.501442010590726,{'NC_0025AG05_PatserOutID00571.txt': 15.501442010590726}
ID00576,ID00579,128.87699196594008,"{'rnamotif.out': 128.83859937511443, 'rnamotif.err': 0.03839259082564854}"
ID00577,ID00579,53.576736650125355,"{'transterm.err': 0.011889318449233095, 'transterm.out': 53.56484733167612}"
ID00574,ID00558,7.517269283661983,{'NC_0025AG05_PatserOutID00574.txt': 7.517269283661983}
ID00575,ID00579,4683.534075751756,"{'vienna_input_tmp': 252.64454932832226, 'NC_0025AG05_term.txt': 2667.4800564459065, 'vienna_output': 1009.2451074821687, 'findterm.out': 0.01659550700205453, 'rna.ps': 0.3540787650662231, 'findterm.err': 0.0, 'vienna_index_tmp': 717.7863919115189, 'NC_0025AG05_term_candidates_non_redund': 36.00729631177115}"
ID00200,ID00203,122.56735543434552,{'NC_0025AG05_parsed.ffn': 122.56735543434552}
ID00201,ID00205,1.6628945710192997,"{'BLAST_NC_0025AG05': 1.2150635760981865, 'blast_candidate.out': 0.38033434330827953, 'blast_candidate.err': 0.06749665161283372}"
ID00202,ID00205,20.11623142783368,{'NC_0025AG05_QRNA.txt.all.CUTOFF0.ID[100:0].GC[100:0].gff': 20.11623142783368}
ID00203,ID00205,191.36601126443745,{'NC_0025AG05_synteny.txt': 191.36601126443745}
ID00204,ID00205,76.12359061842412,{'NC_0025AG05_paralogues.txt': 76.12359061842412}
ID00206,ID00233,200.1274481849848,{'NC_0025AG05_PatserOut.txt': 200.1274481849848}
ID00207,ID00206,9.971051225689644,{'NC_0025AG05_PatserOutID00207.txt': 9.971051225689644}
ID00479,ID00469,9.411262482038252,{'NC_0025AG05_PatserOutID00479.txt': 9.411262482038252}
ID00478,ID00469,16.595878543256067,{'NC_0025AG05_PatserOutID00478.txt': 16.595878543256067}
ID00473,ID00469,11.048396863084212,{'NC_0025AG05_PatserOutID00473.txt': 11.048396863084212}
ID00472,ID00469,14.001158638778124,{'NC_0025AG05_PatserOutID00472.txt': 14.001158638778124}
ID00471,ID00469,15.975404736686714,{'NC_0025AG05_PatserOutID00471.txt': 15.975404736686714}
ID00470,ID00469,9.016685726004328,{'NC_0025AG05_PatserOutID00470.txt': 9.016685726004328}
ID00477,ID00469,13.977380001879657,{'NC_0025AG05_PatserOutID00477.txt': 13.977380001879657}
ID00476,ID00469,13.744671362649356,{'NC_0025AG05_PatserOutID00476.txt': 13.744671362649356}
ID00475,ID00469,12.095523816086981,{'NC_0025AG05_PatserOutID00475.txt': 12.095523816086981}
ID00474,ID00469,10.504708238166158,{'NC_0025AG05_PatserOutID00474.txt': 10.504708238166158}
ID00158,ID00146,6.892956218010067,{'NC_0025AG05_PatserOutID00158.txt': 6.892956218010067}
ID00159,ID00146,10.52687686319129,{'NC_0025AG05_PatserOutID00159.txt': 10.52687686319129}
ID00334,ID00323,16.73396802316122,{'NC_0025AG05_PatserOutID00334.txt': 16.73396802316122}
ID00335,ID00323,10.259367198083545,{'NC_0025AG05_PatserOutID00335.txt': 10.259367198083545}
ID00336,ID00323,14.885798239641375,{'NC_0025AG05_PatserOutID00336.txt': 14.885798239641375}
ID00337,ID00323,12.936693096370224,{'NC_0025AG05_PatserOutID00337.txt': 12.936693096370224}
ID00330,ID00323,13.277520225248239,{'NC_0025AG05_PatserOutID00330.txt': 13.277520225248239}
ID00331,ID00323,12.60552603873221,{'NC_0025AG05_PatserOutID00331.txt': 12.60552603873221}
ID00332,ID00323,6.041259937016567,{'NC_0025AG05_PatserOutID00332.txt': 6.041259937016567}
ID00333,ID00323,9.060775281920234,{'NC_0025AG05_PatserOutID00333.txt': 9.060775281920234}
ID00338,ID00323,12.946600861744585,{'NC_0025AG05_PatserOutID00338.txt': 12.946600861744585}
ID00339,ID00323,16.41035563662116,{'NC_0025AG05_PatserOutID00339.txt': 16.41035563662116}
ID00507,ID00500,11.88089684866489,{'NC_0025AG05_PatserOutID00507.txt': 11.88089684866489}
ID00506,ID00500,11.148712987499618,{'NC_0025AG05_PatserOutID00506.txt': 11.148712987499618}
ID00505,ID00500,8.747813743157609,{'NC_0025AG05_PatserOutID00505.txt': 8.747813743157609}
