parent,child,weight,files
ID00653,ID00647,0.004350413082934851,{'NC_0025AG05_PatserOutID00653.txt': 0.004350413082934851}
ID00652,ID00647,0.003615541740411784,{'NC_0025AG05_PatserOutID00652.txt': 0.003615541740411784}
ID00651,ID00647,0.0021054496808785655,{'NC_0025AG05_PatserOutID00651.txt': 0.0021054496808785655}
ID00650,ID00647,0.0024775853483395612,{'NC_0025AG05_PatserOutID00650.txt': 0.0024775853483395612}
ID00657,ID00647,0.0038770695921747584,{'NC_0025AG05_PatserOutID00657.txt': 0.0038770695921747584}
ID00656,ID00647,0.0025996737871651237,{'NC_0025AG05_PatserOutID00656.txt': 0.0025996737871651237}
ID00655,ID00647,0.002334950681068918,{'NC_0025AG05_PatserOutID00655.txt': 0.002334950681068918}
ID00654,ID00647,0.0034237150180574387,{'NC_0025AG05_PatserOutID00654.txt': 0.0034237150180574387}
ID00659,ID00647,0.003511695974581764,{'NC_0025AG05_PatserOutID00659.txt': 0.003511695974581764}
ID00658,ID00647,0.0026339298859469765,{'NC_0025AG05_PatserOutID00658.txt': 0.0026339298859469765}
ID00095,ID00088,0.0026200713991295895,{'NC_0025AG05_PatserOutID00095.txt': 0.0026200713991295895}
ID00094,ID00088,0.001916000822214067,{'NC_0025AG05_PatserOutID00094.txt': 0.001916000822214067}
ID00097,ID00088,0.0022332227000876675,{'NC_0025AG05_PatserOutID00097.txt': 0.0022332227000876675}
ID00096,ID00088,0.003998229177996474,{'NC_0025AG05_PatserOutID00096.txt': 0.003998229177996474}
ID00091,ID00088,0.004590503007369052,{'NC_0025AG05_PatserOutID00091.txt': 0.004590503007369052}
ID00090,ID00088,0.0021423808763114957,{'NC_0025AG05_PatserOutID00090.txt': 0.0021423808763114957}
ID00093,ID00088,0.004887773122720033,{'NC_0025AG05_PatserOutID00093.txt': 0.004887773122720033}
ID00092,ID00088,0.004429960054184251,{'NC_0025AG05_PatserOutID00092.txt': 0.004429960054184251}
ID00154,ID00146,0.0034027600942906655,{'NC_0025AG05_PatserOutID00154.txt': 0.0034027600942906655}
ID00155,ID00146,0.004634159098549829,{'NC_0025AG05_PatserOutID00155.txt': 0.004634159098549829}
ID00156,ID00146,0.004204954702532514,{'NC_0025AG05_PatserOutID00156.txt': 0.004204954702532514}
ID00157,ID00146,0.003246452710803404,{'NC_0025AG05_PatserOutID00157.txt': 0.003246452710803404}
ID00099,ID00088,0.002760068123869309,{'NC_0025AG05_PatserOutID00099.txt': 0.002760068123869309}
ID00098,ID00088,0.0027193100540605316,{'NC_0025AG05_PatserOutID00098.txt': 0.0027193100540605316}
ID00152,ID00146,0.0024431434789569393,{'NC_0025AG05_PatserOutID00152.txt': 0.0024431434789569393}
ID00153,ID00146,0.0028864292865125644,{'NC_0025AG05_PatserOutID00153.txt': 0.0028864292865125644}
ID00292,ID00293,0.022837077185527237,{'NC_0025AG05_paralogues.txt': 0.022837077185527237}
ID00291,ID00293,0.05740980337933123,{'NC_0025AG05_synteny.txt': 0.05740980337933123}
