parent,child,weight,files
ID00653,ID00647,0.01450137694311617,{'NC_0025AG05_PatserOutID00653.txt': 0.01450137694311617}
ID00652,ID00647,0.012051805801372613,{'NC_0025AG05_PatserOutID00652.txt': 0.012051805801372613}
ID00651,ID00647,0.007018165602928552,{'NC_0025AG05_PatserOutID00651.txt': 0.007018165602928552}
ID00650,ID00647,0.008258617827798539,{'NC_0025AG05_PatserOutID00650.txt': 0.008258617827798539}
ID00657,ID00647,0.012923565307249195,{'NC_0025AG05_PatserOutID00657.txt': 0.012923565307249195}
ID00656,ID00647,0.008665579290550413,{'NC_0025AG05_PatserOutID00656.txt': 0.008665579290550413}
ID00655,ID00647,0.007783168936896394,{'NC_0025AG05_PatserOutID00655.txt': 0.007783168936896394}
ID00654,ID00647,0.011412383393524796,{'NC_0025AG05_PatserOutID00654.txt': 0.011412383393524796}
ID00659,ID00647,0.011705653248605879,{'NC_0025AG05_PatserOutID00659.txt': 0.011705653248605879}
ID00658,ID00647,0.008779766286489922,{'NC_0025AG05_PatserOutID00658.txt': 0.008779766286489922}
ID00095,ID00088,0.008733571330431964,{'NC_0025AG05_PatserOutID00095.txt': 0.008733571330431964}
ID00094,ID00088,0.0063866694073802235,{'NC_0025AG05_PatserOutID00094.txt': 0.0063866694073802235}
ID00097,ID00088,0.007444075666958892,{'NC_0025AG05_PatserOutID00097.txt': 0.007444075666958892}
ID00096,ID00088,0.01332743059332158,{'NC_0025AG05_PatserOutID00096.txt': 0.01332743059332158}
ID00091,ID00088,0.015301676691230172,{'NC_0025AG05_PatserOutID00091.txt': 0.015301676691230172}
ID00090,ID00088,0.007141269587704987,{'NC_0025AG05_PatserOutID00090.txt': 0.007141269587704987}
ID00093,ID00088,0.016292577075733443,{'NC_0025AG05_PatserOutID00093.txt': 0.016292577075733443}
ID00092,ID00088,0.014766533513947504,{'NC_0025AG05_PatserOutID00092.txt': 0.014766533513947504}
ID00154,ID00146,0.011342533647635551,{'NC_0025AG05_PatserOutID00154.txt': 0.011342533647635551}
ID00155,ID00146,0.015447196995166099,{'NC_0025AG05_PatserOutID00155.txt': 0.015447196995166099}
ID00156,ID00146,0.014016515675108383,{'NC_0025AG05_PatserOutID00156.txt': 0.014016515675108383}
ID00157,ID00146,0.010821509036011347,{'NC_0025AG05_PatserOutID00157.txt': 0.010821509036011347}
ID00099,ID00088,0.009200227079564364,{'NC_0025AG05_PatserOutID00099.txt': 0.009200227079564364}
ID00098,ID00088,0.009064366846868439,{'NC_0025AG05_PatserOutID00098.txt': 0.009064366846868439}
ID00152,ID00146,0.008143811596523132,{'NC_0025AG05_PatserOutID00152.txt': 0.008143811596523132}
ID00153,ID00146,0.009621430955041883,{'NC_0025AG05_PatserOutID00153.txt': 0.009621430955041883}
ID00292,ID00293,0.07612359061842412,{'NC_0025AG05_paralogues.txt': 0.07612359061842412}
ID00291,ID00293,0.19136601126443742,{'NC_0025AG05_synteny.txt': 0.19136601126443742}
